type d'organisme BOSPL,code pivot organisme,url 
Environnement et maîtrise de l’énergie (réseau local de l’Ademe) << 61,ademe,http://www.ademe.fr
,,ou url spécifique
"Information sur le logement (agence départementale, Adil)",adil,url spécifique
Formation professionnelle des adultes (réseau local de l’AFPA),afpa,http://www.afpa.fr
,,ou url spécifique
Association de gestion du fonds pour l'insertion professionnelle des personnes handicapées (Agefiph),agefiph,http://www.agefiph.fr
Agence nationale de l’habitat (réseau local de l’Anah),anah,http://www.anah.fr
Emploi des cadres (réseau local de l’APEC),apec,http://www.apec.fr
"Emploi des cadres, ingénieurs et techniciens de l’agriculture et de l’agroalimentaire (réseau local de l’APECITA)",apecita,http://www.apecita.com
Agence régionale de santé (délégation territoriale de l'ARS) << 24,ars_antenne,url spécifique
Banque de France (succursale),banque_de_france,http://www.banque-france.fr
Service national (bureau ou centre),bsn,http://www.defense.gouv.fr
Cour administrative d'appel << 70,caa,url spécifique
Allocations familiales (réseau local des CAF),caf,http://www.caf.fr
"Assurance retraite et santé au travail (caisse régionale, CARSAT, ex CRAM)",carsat,url spécifique
Commerce et d’industrie (chambre départementale),cci,url spécifique
Fonction publique territoriale (centre de gestion),cdg,url spécifique
Impôts fonciers et cadastre (centre),centre_impots_fonciers,http://www.impots.gouv.fr
Conseil général << 1,cg,url spécifique
Agriculture (chambre départementale),chambre_agriculture,url spécifique
Métiers et artisanat (chambre départementale),chambre_metier,url spécifique
"Information, conseil et accueil des salariés (centre, Cicas)",cicas,http://www.agirc-arrco.fr
"Droits des femmes et des familles (centre d’information, CIDFF)",cidf,url spécifique
Information jeunesse (réseau local),cij,url spécifique
"Information et d’orientation (centre, CIO)",cio,url spécifique
Fonction publique territoriale (réseau local du CNFPT),cnfpt,http://www.cnfpt.fr
Police (commissariat),commissariat_police,http://www.prefecturedepolice.interieur.gouv.fr
,,http://www.interieur.gouv.fr
Conciliation (commission départementale),commission_conciliation,url spécifique
"Assurance maladie (caisse primaire, CPAM)",cpam,http://www.ameli.fr
Conseil régional << 28,cr,url spécifique
Centre de ressources et d'information des bénévoles (Crib),crib,http://www.associations.gouv.fr
Centre de ressources et d'information des bénévoles (Crib),crib,url spécifique
CROUS et ses antennes << 64,crous,url spécifique
"Cohésion sociale (direction départementale, DDCS) << 5",ddcs,url spécifique
Greffe des associations,ddcs_greffe_associations,url spécifique
"Cohésion sociale et protection des populations (direction départementale, DDCSPP) << 6",ddcspp,url spécifique
"Protection des populations (direction départementale, DDPP) << 9",ddpp,url spécifique
"Territoires (direction départementale, DDT) << 10",ddt,url spécifique
Défenseur des droits (délégué territorial) << 27,defenseur_droits,http://www.defenseurdesdroits.fr
"Mer et littoral (délégation, DML)",dml,url spécifique
"Affaires culturelles (direction régionale, DRAC) << 39",drac,url spécifique
"Alimentation, agriculture et forêt (direction régionale, DRAAF) << 38",draf,url spécifique
Douanes (direction interrégionale ou régionale) << 51,drddi,http://www.douane.gouv.fr
"Environnement, aménagement et logement (direction régionale, DREAL) << 41",dreal,url spécifique
Intercommunalité,epci,url spécifique
Pêche et protection du milieu aquatique (fédération départementale des associations),fdapp,url spécifique
Chasseurs (fédération départementale),fdc,url spécifique
"Congé individuel de formation (antenne du Fonds de gestion, Fongecif)",fongecif,url spécifique
Gendarmerie (brigade),gendarmerie,http://www.gendarmerie.interieur.gouv.fr
Groupement d'établissements publics d'enseignement (Greta),greta,url spécifique
Publicité foncière (service),hypotheque,http://www.impots.gouv.fr
